City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,yuzhno-kurilsk,44.0306,145.8556,289.14,99,100,2.54,RU,1722886942
333,grand baie,-20.0182,57.5802,292.29,80,0,0.45,MU,1722886943
334,palanga,55.9175,21.0686,291.16,88,0,2.57,LT,1722886944
335,victoria point,-27.5833,153.3,288.46,82,100,4.2,AU,1722886945
336,padang,-0.9492,100.3543,299.18,89,93,2.43,ID,1722886946
337,renqiu,38.6989,116.0936,298.31,73,5,1.39,CN,1722886948
338,narasannapeta,18.4167,84.05,300.22,84,100,2.34,IN,1722886949
339,rabo de peixe,37.8,-25.5833,297.88,83,20,4.63,PT,1722886950
340,nsanje,-16.92,35.262,295.12,34,0,1.02,MW,1722886951
341,muleshoe,34.2265,-102.7238,305.95,16,0,3.36,US,1722886952
342,port saint john's,-31.6229,29.5448,286.71,74,0,2.52,ZA,1722886953
343,truckee,39.328,-120.1833,305.43,24,0,6.17,US,1722886954
344,gerash,27.6652,54.1371,306.23,56,100,1.66,IR,1722886955
345,bamboo flat,11.7,92.7167,299.2,89,75,2.06,IN,1722886958
346,fale old settlement,-9.3852,-171.2468,300.66,78,100,4.52,TK,1722886959
347,conceicao do araguaia,-8.2578,-49.2647,308.85,17,0,2.72,BR,1722886960
348,mrakovo,52.7161,56.6244,292.06,75,96,1.41,RU,1722886961
349,vila real,41.3006,-7.7441,297.66,47,2,2.79,PT,1722886963
350,damaturu,11.747,11.9608,300.01,65,100,4.58,NG,1722886966
351,bollnas,61.3482,16.3946,290.28,79,83,0.97,SE,1722886967
352,villa gesell,-37.2639,-56.973,285.96,87,86,7.02,AR,1722886969
353,talodi,10.6325,30.3797,295.5,96,100,1.11,SD,1722886970
354,anadyr,64.75,177.4833,275.43,93,75,7.0,RU,1722886971
355,kone,-21.0595,164.8658,288.16,77,6,1.64,NC,1722886972
356,nochistlan de mejia,21.3667,-102.85,299.17,36,3,2.89,MX,1722886973
357,alexandria,31.2156,29.9553,299.45,69,0,2.78,EG,1722886759
358,kapa'a,22.0752,-159.319,300.43,71,75,5.14,US,1722886977
359,selebi-phikwe,-21.979,27.8498,291.55,51,0,5.31,BW,1722886978
360,tuy hoa,13.0833,109.3,297.79,92,95,2.12,VN,1722886979
361,flying fish cove,-10.4217,105.6791,297.97,83,100,5.14,CX,1722886980
362,sterling,39.0062,-77.4286,309.01,45,0,3.09,US,1722886981
363,sasaguri,33.6167,130.5333,299.49,85,79,2.06,JP,1722886982
364,muroto-misakicho,33.2833,134.15,301.25,84,36,2.92,JP,1722886983
